date,avg_temperature_2m_24h,avg_relative_humidity_2m_24h,avg_dew_point_2m_24h,avg_apparent_temperature_24h,avg_temperature_80m_24h,avg_temperature_120m_24h,avg_wind_speed_10m_24h,avg_wind_speed_80m_24h,avg_visibility_24h,total_rain_24h,total_showers_24h,total_snowfall_24h,avg_temperature_2m_daylight,avg_relative_humidity_2m_daylight,avg_dew_point_2m_daylight,avg_apparent_temperature_daylight,avg_temperature_80m_daylight,avg_temperature_120m_daylight,avg_wind_speed_10m_daylight,avg_wind_speed_80m_daylight,avg_visibility_daylight,total_rain_daylight,total_showers_daylight,total_snowfall_daylight
2025-05-15,8.857142857142858,57.142857142857146,33.5,4.746031746031747,8.84920634920635,8.793650793650794,4.0273616,6.9743908,79199.477,0.0,0.0,0.0,8.38888888888889,59.0,33.5,4.500000000000001,8.166666666666668,8.055555555555555,3.6525524,6.173328,79199.477,0.0,0.0,0.0
2025-05-16,9.25,81.875,43.083333333333336,6.6967592592592595,9.17361111111111,9.12037037037037,3.110242683333333,4.6685793,71710.95970833334,10.998199999999999,0.0,0.0,8.777777777777777,88.0,44.5,7.444444444444445,9.777777777777779,9.888888888888888,1.0803324,1.6462208,79199.477,0.0,0.0,0.0
2025-05-17,14.793981481481481,73.33333333333333,49.512499999999996,13.400462962962964,14.212962962962962,14.094907407407407,2.7608494666666665,3.9847974833333333,78934.2755,0.8128,0.0,0.0,11.222222222222223,95.0,50.8,10.722222222222221,11.500000000000002,11.444444444444445,1.2346656,2.6751088000000003,79199.477,0.0,0.0,0.0
2025-05-18,12.701388888888888,84.5,50.09583333333333,10.407407407407407,12.189814814814815,12.027777777777779,4.458514666666667,6.818526516666668,66313.97733333333,11.7602,1.3208,0.0,8.88888888888889,87.0,44.3,5.333333333333334,8.555555555555555,8.38888888888889,5.2987732,8.1796596,79199.477,0.0,0.0,0.0
2025-05-19,12.3125,62.875,41.104166666666664,9.0625,11.939814814814815,11.856481481481481,4.467088733333333,6.711350683333333,79199.477,0.0,0.0,0.0,11.11111111111111,72.0,43.2,8.11111111111111,11.277777777777777,11.277777777777777,3.85833,6.3276612000000005,79199.477,0.0,0.0,0.0
2025-05-20,15.0625,66.125,47.50833333333333,12.6875,15.918981481481483,15.986111111111109,3.8969133,6.554873966666666,79199.477,0.0,0.0,0.0,11.38888888888889,71.0,43.4,8.499999999999998,13.444444444444446,13.88888888888889,3.8068856,8.0253264,79199.477,0.0,0.0,0.0
2025-05-21,18.011574074074073,59.0,49.13333333333333,15.86574074074074,18.578703703703706,18.650462962962965,4.175570466666667,6.666336833333333,79199.477,0.0,0.508,0.0,12.777777777777779,77.0,48.0,10.944444444444446,14.5,14.777777777777779,3.0352196000000005,4.3213296,79199.477,0.0,0.4064,0.0
2025-05-22,19.900462962962962,51.958333333333336,48.75,18.305555555555554,20.391203703703706,20.395833333333332,3.3053027,4.8743568999999995,79199.477,0.0,0.0,0.0,15.88888888888889,67.0,49.6,14.833333333333334,17.72222222222222,18.055555555555557,1.9034428,3.2409972,79199.477,0.0,0.0,0.0
2025-05-23,21.347222222222225,61.291666666666664,55.520833333333336,19.988425925925927,21.520833333333332,21.51388888888889,4.840060633333334,7.725234066666666,78406.60733333333,0.0,0.4064,0.0,15.722222222222221,79.0,53.7,14.833333333333334,16.72222222222222,16.88888888888889,2.8808864,5.9675504,79199.477,0.0,0.0,0.0
2025-05-24,12.777777777777779,74.95833333333333,47.0875,9.42361111111111,12.414351851851853,12.280092592592593,5.706041366666667,8.657663816666668,76131.89137499999,2.6162,0.7111999999999999,0.0,7.222222222222222,84.0,40.4,4.500000000000001,7.833333333333333,7.944444444444443,2.6751088000000003,4.3213296,79199.477,0.0,0.0,0.0
2025-05-25,11.835648148148147,59.5,39.22083333333333,8.752314814814815,11.025462962962962,10.858796296296296,3.78759395,5.6074396,79199.477,0.0,0.0,0.0,7.5,71.0,36.6,4.055555555555554,6.944444444444445,6.833333333333332,3.343886,5.401662,79199.477,0.0,0.0,0.0
2025-05-26,6.0092592592592595,71.375,33.90416666666667,1.3124999999999998,5.060185185185185,4.872685185185185,5.335212983333334,7.808831216666667,75295.27720833333,0.1016,1.3208,0.0,0.2777777777777778,80.0,27.1,-4.222222222222223,-0.44444444444444486,-0.6111111111111119,3.85833,6.173328,79199.477,0.0,0.0,0.0
2025-05-27,4.5532407407407405,53.875,24.233333333333334,-0.3240740740740741,3.6805555555555554,3.509259259259259,4.389922133333333,6.353383399999999,71186.02545833333,0.30479999999999996,0.2032,1.4223999999999999,1.8888888888888882,94.0,33.9,-2.7777777777777777,0.8888888888888897,0.7222222222222207,5.14444,7.3051048,1509.186,0.2032,0.0,0.7111999999999999
2025-05-28,2.930555555555556,87.41666666666667,33.704166666666666,-0.791666666666667,2.8541666666666665,2.7708333333333335,3.35031655,5.232324183333334,46823.05445833333,3.6322,0.8128,4.2164,0.08333333333333354,84.5,28.0,-2.972222222222222,1.2222222222222219,1.3055555555555562,1.1832212000000002,1.929165,79199.477,0.0,0.0,0.0
2025-05-29,8.622685185185185,63.708333333333336,35.22083333333333,5.546296296296297,8.104166666666666,7.986111111111111,2.8122938666666664,4.158422333333333,79199.477,0.0,0.0,0.0,8.166666666666666,75.0,39.2,5.333333333333332,8.305555555555557,8.277777777777779,2.6493866,5.453106399999999,79199.477,0.0,0.0,0.0
2025-05-30,14.431372549019608,70.3529411764706,48.182352941176475,11.277777777777779,13.875816993464053,13.758169934640522,5.846504752941177,8.663842188235295,70839.12411764705,0.1016,2.9464,0.0,,,,,,,,,,,,
